,country,iso_abr,year,suicides_no,population,suicides_per100kpop
797,Philippines,PHL,2011,2449,84201767,2.91
798,Poland,POL,2002,5925,36347498,16.3
799,Poland,POL,2003,5836,36353775,16.05
800,Poland,POL,2004,6072,36371596,16.69
801,Poland,POL,2005,6045,36371365,16.62
802,Poland,POL,2006,5805,36348232,15.97
803,Poland,POL,2007,5284,36310843,14.55
804,Poland,POL,2008,5682,36262711,15.67
805,Poland,POL,2009,6477,36223402,17.88
806,Poland,POL,2010,6357,36027791,17.64
807,Poland,POL,2011,6113,36008237,16.98
808,Poland,POL,2012,6368,36013446,17.68
809,Poland,POL,2013,6218,36023694,17.26
810,Poland,POL,2014,5934,36059630,16.46
811,Poland,POL,2015,5420,36086575,15.02
812,Portugal,PRT,2002,1210,9859832,12.27
813,Portugal,PRT,2003,1156,9895009,11.68
814,Portugal,PRT,2007,1020,10005713,10.19
815,Portugal,PRT,2008,1038,10030640,10.35
816,Portugal,PRT,2009,1025,10049918,10.2
817,Portugal,PRT,2010,1099,10066628,10.92
818,Portugal,PRT,2011,1017,10062815,10.11
819,Portugal,PRT,2012,1076,10029396,10.73
820,Portugal,PRT,2013,1052,9985074,10.54
821,Portugal,PRT,2014,1222,9944433,12.29
822,Puerto Rico,PRI,2002,239,3523951,6.78
823,Puerto Rico,PRI,2003,262,3519026,7.45
824,Puerto Rico,PRI,2004,279,3511462,7.95
825,Puerto Rico,PRI,2005,289,3504599,8.25
826,Puerto Rico,PRI,2006,265,3499036,7.57
827,Puerto Rico,PRI,2007,271,3493631,7.76
828,Puerto Rico,PRI,2008,300,3488811,8.6
829,Puerto Rico,PRI,2009,330,3484474,9.47
830,Puerto Rico,PRI,2010,286,3480379,8.22
831,Puerto Rico,PRI,2011,258,3475298,7.42
832,Puerto Rico,PRI,2012,248,3472672,7.14
833,Puerto Rico,PRI,2013,241,3471665,6.94
834,Puerto Rico,PRI,2014,220,3470956,6.34
835,Puerto Rico,PRI,2015,226,3469521,6.51
836,Qatar,QAT,2004,21,697191,3.01
837,Qatar,QAT,2005,17,796618,2.13
838,Qatar,QAT,2006,29,940090,3.08
839,Qatar,QAT,2007,41,1115479,3.68
840,Qatar,QAT,2008,33,1310465,2.52
841,Qatar,QAT,2009,44,1506649,2.92
842,Qatar,QAT,2010,47,1689592,2.78
843,Qatar,QAT,2011,50,1854081,2.7
844,Qatar,QAT,2012,43,2003149,2.15
845,Qatar,QAT,2013,37,2135349,1.73
846,Qatar,QAT,2014,55,2251682,2.44
847,Qatar,QAT,2015,66,2354147,2.8
848,Qatar,QAT,2016,68,2213121,3.07
849,Republic of Korea,KOR,2002,8611,45110041,19.09
850,Republic of Korea,KOR,2003,10898,45455888,23.97
851,Republic of Korea,KOR,2004,11492,45779970,25.1
852,Republic of Korea,KOR,2005,12011,46151884,26.02
853,Republic of Korea,KOR,2006,10653,46513964,22.9
854,Republic of Korea,KOR,2007,12174,46814207,26.0
855,Republic of Korea,KOR,2008,12858,47101747,27.3
856,Republic of Korea,KOR,2009,15402,47380017,32.51
857,Republic of Korea,KOR,2010,15558,47598615,32.69
858,Republic of Korea,KOR,2011,15906,47798017,33.28
859,Republic of Korea,KOR,2012,14159,48020985,29.49
860,Republic of Korea,KOR,2013,14426,48248224,29.9
861,Republic of Korea,KOR,2014,13834,48465917,28.54
862,Republic of Korea,KOR,2015,13510,48671752,27.76
863,Romania,ROU,2002,3067,20700580,14.82
864,Romania,ROU,2003,2894,20656841,14.01
865,Romania,ROU,2004,2720,20610767,13.2
866,Romania,ROU,2005,2603,20569960,12.65
867,Romania,ROU,2006,2721,20526561,13.26
868,Romania,ROU,2007,2430,20475026,11.87
869,Romania,ROU,2008,2472,20433803,12.1
870,Romania,ROU,2009,2586,20390882,12.68
871,Romania,ROU,2010,2766,20348649,13.59
872,Romania,ROU,2011,2536,20291701,12.5
873,Romania,ROU,2012,2495,19041594,13.1
874,Romania,ROU,2013,2407,19003345,12.67
875,Romania,ROU,2014,2209,18952235,11.66
876,Romania,ROU,2015,2228,18863927,11.81
877,Romania,ROU,2016,1953,16644905,11.73
878,Russian Federation,RUS,2002,55024,136590900,40.28
879,Russian Federation,RUS,2003,51445,137019868,37.55
880,Russian Federation,RUS,2004,49096,137071699,35.82
881,Russian Federation,RUS,2005,45802,136162191,33.64
882,Russian Federation,RUS,2006,42614,135357462,31.48
883,Russian Federation,RUS,2007,41149,134778964,30.53
884,Russian Federation,RUS,2008,38211,134385949,28.43
885,Russian Federation,RUS,2009,37408,134085433,27.9
886,Russian Federation,RUS,2010,33356,134865987,24.73
887,Russian Federation,RUS,2011,31038,134745874,23.03
888,Russian Federation,RUS,2012,29643,134668522,22.01
889,Russian Federation,RUS,2013,28690,134713962,21.3
890,Russian Federation,RUS,2014,26541,134713962,19.7
891,Russian Federation,RUS,2015,25432,137018943,18.56
892,Saint Lucia,LCA,2002,12,145168,8.27
893,Saint Lucia,LCA,2003,10,147127,6.8
894,Saint Lucia,LCA,2004,8,149121,5.36
895,Saint Lucia,LCA,2005,4,151169,2.65
896,Saint Lucia,LCA,2006,2,153460,1.3
897,Saint Lucia,LCA,2008,0,157876,0.0
898,Saint Lucia,LCA,2009,13,159820,8.13
899,Saint Lucia,LCA,2010,4,161503,2.48
900,Saint Lucia,LCA,2011,8,162892,4.91
901,Saint Lucia,LCA,2012,10,163940,6.1
902,Saint Lucia,LCA,2013,14,164790,8.5
903,Saint Lucia,LCA,2014,14,165596,8.45
904,Saint Vincent and Grenadines,VCT,2002,7,97799,7.16
905,Saint Vincent and Grenadines,VCT,2003,4,98292,4.07
906,Saint Vincent and Grenadines,VCT,2004,4,98740,4.05
907,Saint Vincent and Grenadines,VCT,2005,8,99118,8.07
908,Saint Vincent and Grenadines,VCT,2006,6,99463,6.03
909,Saint Vincent and Grenadines,VCT,2007,11,99689,11.03
910,Saint Vincent and Grenadines,VCT,2008,4,99826,4.01
911,Saint Vincent and Grenadines,VCT,2009,1,99927,1.0
912,Saint Vincent and Grenadines,VCT,2010,5,100050,5.0
913,Saint Vincent and Grenadines,VCT,2011,5,100037,5.0
914,Saint Vincent and Grenadines,VCT,2012,10,100167,9.98
915,Saint Vincent and Grenadines,VCT,2013,0,100398,0.0
916,Saint Vincent and Grenadines,VCT,2014,2,100676,1.99
917,Saint Vincent and Grenadines,VCT,2015,3,100948,2.97
918,San Marino,SMR,2005,1,28264,3.54
919,Serbia,SRB,2002,1446,7138113,20.26
920,Serbia,SRB,2003,1378,7111975,19.38
921,Serbia,SRB,2004,1345,7086364,18.98
922,Serbia,SRB,2005,1437,7058982,20.36
923,Serbia,SRB,2006,1443,7031811,20.52
924,Serbia,SRB,2007,1353,7009610,19.3
925,Serbia,SRB,2008,1289,6988532,18.44
926,Serbia,SRB,2009,1373,6968240,19.7
927,Serbia,SRB,2010,1207,6944871,17.38
928,Serbia,SRB,2011,1256,6900027,18.2
929,Serbia,SRB,2012,1243,6867174,18.1
930,Serbia,SRB,2013,1197,6832840,17.52
931,Serbia,SRB,2014,1134,6801810,16.67
932,Serbia,SRB,2015,1062,6766406,15.7
933,Seychelles,SYC,2002,5,76904,6.5
934,Seychelles,SYC,2003,8,78402,10.2
935,Seychelles,SYC,2004,6,79735,7.52
936,Seychelles,SYC,2005,5,80900,6.18
937,Seychelles,SYC,2006,8,81691,9.79
938,Seychelles,SYC,2007,6,82331,7.29
939,Seychelles,SYC,2008,4,82900,4.83
940,Seychelles,SYC,2009,4,83429,4.79
941,Seychelles,SYC,2010,6,83885,7.15
942,Seychelles,SYC,2011,5,80717,6.19
943,Seychelles,SYC,2012,3,81224,3.69
944,Seychelles,SYC,2013,9,82541,10.9
945,Seychelles,SYC,2014,4,83845,4.77
946,Seychelles,SYC,2015,7,85949,8.14
947,Singapore,SGP,2002,321,3165200,10.14
948,Singapore,SGP,2003,320,3226200,9.92
949,Singapore,SGP,2004,335,3281400,10.21
950,Singapore,SGP,2005,359,3342400,10.74
951,Singapore,SGP,2006,372,3411900,10.9
952,Singapore,SGP,2007,328,3389600,9.68
953,Singapore,SGP,2008,319,3448900,9.25
954,Singapore,SGP,2009,349,3536100,9.87
955,Singapore,SGP,2010,296,3576800,8.28
956,Singapore,SGP,2011,308,3600900,8.55
957,Singapore,SGP,2012,392,3631600,10.79
958,Singapore,SGP,2013,357,3661456,9.75
959,Singapore,SGP,2014,355,3689370,9.62
960,Singapore,SGP,2015,329,3719115,8.85
961,Slovakia,SVK,2002,717,5107584,14.04
962,Slovakia,SVK,2003,753,5113982,14.72
963,Slovakia,SVK,2004,676,5121210,13.2
964,Slovakia,SVK,2005,679,5126946,13.24
965,Slovakia,SVK,2006,0,5129369,0.0
966,Slovakia,SVK,2007,0,5132660,0.0
967,Slovakia,SVK,2008,591,5137067,11.5
968,Slovakia,SVK,2009,601,5141744,11.69
969,Slovakia,SVK,2010,631,5147562,12.26
970,Slovakia,SVK,2012,571,5116922,11.16
971,Slovakia,SVK,2013,616,5122209,12.03
972,Slovakia,SVK,2014,554,5129686,10.8
973,Slovenia,SVN,2002,540,1906124,28.33
974,Slovenia,SVN,2003,562,1907589,29.46
975,Slovenia,SVN,2004,512,1907862,26.84
976,Slovenia,SVN,2005,503,1911817,26.31
977,Slovenia,SVN,2006,529,1918570,27.57
978,Slovenia,SVN,2007,434,1927332,22.52
979,Slovenia,SVN,2008,408,1943758,20.99
980,Slovenia,SVN,2009,447,1942037,23.02
981,Slovenia,SVN,2010,414,1944774,21.29
982,Slovenia,SVN,2011,435,1944561,22.37
983,Slovenia,SVN,2012,440,1945988,22.61
984,Slovenia,SVN,2013,446,1948276,22.89
985,Slovenia,SVN,2014,388,1951786,19.88
986,Slovenia,SVN,2015,422,1954632,21.59
987,South Africa,ZAF,2002,236,41803868,0.56
988,South Africa,ZAF,2003,256,42415309,0.6
989,South Africa,ZAF,2004,383,43005874,0.89
990,South Africa,ZAF,2005,458,43566107,1.05
991,South Africa,ZAF,2006,514,44079057,1.17
992,South Africa,ZAF,2007,417,44577435,0.94
993,South Africa,ZAF,2008,441,43680586,1.01
994,South Africa,ZAF,2009,372,45607048,0.82
995,South Africa,ZAF,2010,393,46176200,0.85
996,South Africa,ZAF,2011,358,46806739,0.76
997,South Africa,ZAF,2012,487,47484256,1.03
998,South Africa,ZAF,2013,587,48192699,1.22
999,South Africa,ZAF,2014,580,48912129,1.19
1000,South Africa,ZAF,2015,482,49627460,0.97
1001,Spain,ESP,2002,3372,39340611,8.57
1002,Spain,ESP,2003,3478,39947556,8.71
1003,Spain,ESP,2004,3508,40555823,8.65
1004,Spain,ESP,2005,3399,41195479,8.25
1005,Spain,ESP,2006,3247,41808848,7.77
1006,Spain,ESP,2007,3264,42547327,7.67
1007,Spain,ESP,2008,3457,43199484,8.0
1008,Spain,ESP,2009,3429,43490086,7.88
1009,Spain,ESP,2010,3158,43595356,7.24
1010,Spain,ESP,2011,3180,43642571,7.29
1011,Spain,ESP,2012,3539,44318859,7.99
1012,Spain,ESP,2013,3873,44227625,8.76
1013,Spain,ESP,2014,3911,44172771,8.85
1014,Spain,ESP,2015,3604,44186528,8.16
1015,Sri Lanka,LKA,2002,4382,17395955,25.19
1016,Sri Lanka,LKA,2003,4467,17524596,25.49
1017,Sri Lanka,LKA,2006,4015,17891558,22.44
1018,Suriname,SUR,2002,69,430176,16.04
1019,Suriname,SUR,2003,77,435946,17.66
1020,Suriname,SUR,2004,67,441717,15.17
1021,Suriname,SUR,2005,72,447445,16.09
1022,Suriname,SUR,2006,112,453293,24.71
1023,Suriname,SUR,2007,119,459086,25.92
1024,Suriname,SUR,2008,147,464789,31.63
1025,Suriname,SUR,2009,131,470448,27.85
1026,Suriname,SUR,2010,136,476052,28.57
1027,Suriname,SUR,2011,127,481521,26.37
1028,Suriname,SUR,2012,133,486964,27.31
1029,Suriname,SUR,2013,131,492359,26.61
1030,Suriname,SUR,2014,128,497701,25.72
1031,Sweden,SWE,2002,1180,8465828,13.94
1032,Sweden,SWE,2003,1112,8490539,13.1
1033,Sweden,SWE,2004,1155,8514314,13.57
1034,Sweden,SWE,2005,1219,8538624,14.28
1035,Sweden,SWE,2006,1197,8576044,13.96
1036,Sweden,SWE,2007,1126,8629159,13.05
1037,Sweden,SWE,2008,1170,8688504,13.47
1038,Sweden,SWE,2009,1242,8755922,14.18
1039,Sweden,SWE,2010,1141,8823125,12.93
1040,Sweden,SWE,2011,1112,8884644,12.52
1041,Sweden,SWE,2012,1154,8948909,12.9
1042,Sweden,SWE,2013,1230,9024081,13.63
1043,Sweden,SWE,2014,1148,9114524,12.6
1044,Sweden,SWE,2015,1182,9114524,12.97
1045,Sweden,SWE,2016,1130,8125852,13.91
1046,Switzerland,CHE,2002,1446,6942010,20.83
1047,Switzerland,CHE,2003,1269,6969293,18.21
1048,Switzerland,CHE,2004,1284,7023166,18.28
1049,Switzerland,CHE,2005,1299,7071991,18.37
1050,Switzerland,CHE,2006,1309,7118477,18.39
1051,Switzerland,CHE,2007,1360,7183595,18.93
1052,Switzerland,CHE,2008,1314,7274875,18.06
1053,Switzerland,CHE,2009,1105,7364558,15.0
1054,Switzerland,CHE,2010,1006,7439147,13.52
1055,Switzerland,CHE,2011,1034,7518040,13.75
1056,Switzerland,CHE,2012,1038,7595591,13.67
1057,Switzerland,CHE,2013,1071,7681318,13.94
1058,Switzerland,CHE,2014,1032,7809621,13.21
1059,Switzerland,CHE,2015,1073,7892502,13.6
1060,Thailand,THA,2002,4902,58263389,8.41
1061,Thailand,THA,2003,4484,60158951,7.45
1062,Thailand,THA,2004,4296,60686373,7.08
1063,Thailand,THA,2005,3937,61182665,6.43
1064,Thailand,THA,2006,3608,61636512,5.85
1065,Thailand,THA,2007,3754,58941621,6.37
1066,Thailand,THA,2008,3778,59216773,6.38
1067,Thailand,THA,2009,3787,59483718,6.37
1068,Thailand,THA,2010,3761,59769764,6.29
1069,Thailand,THA,2011,3873,60261832,6.43
1070,Thailand,THA,2012,3985,60382255,6.6
1071,Thailand,THA,2013,3961,60766487,6.52
1072,Thailand,THA,2014,3952,61139919,6.46
1073,Thailand,THA,2015,4205,61261276,6.86
1074,Thailand,THA,2016,4117,53442001,7.7
1075,Trinidad and Tobago,TTO,2002,156,1188800,13.12
1076,Trinidad and Tobago,TTO,2003,144,1194458,12.06
1077,Trinidad and Tobago,TTO,2004,168,1200116,14.0
1078,Trinidad and Tobago,TTO,2005,136,1205471,11.28
1079,Trinidad and Tobago,TTO,2006,141,1209301,11.66
1080,Trinidad and Tobago,TTO,2007,131,1213988,10.79
1081,Trinidad and Tobago,TTO,2008,199,1219336,16.32
1082,Trinidad and Tobago,TTO,2009,128,1225097,10.45
1083,Trinidad and Tobago,TTO,2010,160,1231002,13.0
1084,Trinidad and Tobago,TTO,2011,139,1237186,11.24
1085,Turkey,TUR,2009,1050,65962419,1.59
1086,Turkey,TUR,2010,1524,66975131,2.28
1087,Turkey,TUR,2011,1148,68034357,1.69
1088,Turkey,TUR,2012,1450,68976439,2.1
1089,Turkey,TUR,2013,1810,69880352,2.59
1090,Turkey,TUR,2014,1617,70931420,2.28
1091,Turkey,TUR,2015,1532,71880464,2.13
1092,Turkmenistan,TKM,2002,416,4143692,10.04
1093,Turkmenistan,TKM,2003,377,4177740,9.02
1094,Turkmenistan,TKM,2004,392,4211000,9.31
1095,Turkmenistan,TKM,2005,468,4252530,11.01
1096,Turkmenistan,TKM,2006,506,4287650,11.8
1097,Turkmenistan,TKM,2007,354,4342657,8.15
1098,Turkmenistan,TKM,2008,484,4412135,10.97
1099,Turkmenistan,TKM,2009,165,4484467,3.68
1100,Turkmenistan,TKM,2010,178,4551185,3.91
1101,Turkmenistan,TKM,2011,130,4626095,2.81
1102,Turkmenistan,TKM,2012,138,4690058,2.94
1103,Turkmenistan,TKM,2013,101,4748055,2.13
1104,Turkmenistan,TKM,2014,136,4811227,2.83
1105,Turkmenistan,TKM,2015,133,4886514,2.72
1106,Ukraine,UKR,2002,12536,46060017,27.22
1107,Ukraine,UKR,2003,12313,45697383,26.94
1108,Ukraine,UKR,2004,11256,45322826,24.84
1109,Ukraine,UKR,2005,10621,44939270,23.63
1110,Ukraine,UKR,2006,10013,44560034,22.47
1111,Ukraine,UKR,2007,10032,44198672,22.7
1112,Ukraine,UKR,2008,9454,43856123,21.56
1113,Ukraine,UKR,2009,9715,43557944,22.3
1114,Ukraine,UKR,2010,9089,43296809,20.99
1115,Ukraine,UKR,2011,8973,43074791,20.83
1116,Ukraine,UKR,2012,9058,42915935,21.11
1117,Ukraine,UKR,2014,7968,40464165,19.69
1118,Ukraine,UKR,2015,7574,40345446,18.77
1119,United Arab Emirates,ARE,2005,96,4280433,2.24
1120,United Arab Emirates,ARE,2006,90,4923879,1.83
1121,United Arab Emirates,ARE,2007,101,5695389,1.77
1122,United Arab Emirates,ARE,2008,100,6510358,1.54
1123,United Arab Emirates,ARE,2009,124,7252480,1.71
1124,United Arab Emirates,ARE,2010,111,7839736,1.42
1125,United Kingdom,GBR,2002,4117,55908944,7.36
1126,United Kingdom,GBR,2003,3979,56171771,7.08
1127,United Kingdom,GBR,2004,4183,56455011,7.41
1128,United Kingdom,GBR,2005,4047,56809024,7.12
1129,United Kingdom,GBR,2006,4122,57091129,7.22
1130,United Kingdom,GBR,2007,3897,57382757,6.79
1131,United Kingdom,GBR,2008,4259,57683372,7.38
1132,United Kingdom,GBR,2009,4246,58013559,7.32
1133,United Kingdom,GBR,2010,4188,58403529,7.17
1134,United Kingdom,GBR,2011,4393,58881852,7.46
1135,United Kingdom,GBR,2012,4444,59708630,7.44
1136,United Kingdom,GBR,2013,4824,60091793,8.03
1137,United Kingdom,GBR,2014,4788,60570482,7.9
1138,United Kingdom,GBR,2015,4910,61082942,8.04
1139,United States,USA,2002,31645,268759559,11.77
1140,United States,USA,2003,31477,271041510,11.61
1141,United States,USA,2004,32428,273584136,11.85
1142,United States,USA,2005,32629,276106680,11.82
1143,United States,USA,2006,33292,278980848,11.93
1144,United States,USA,2007,34596,280658606,12.33
1145,United States,USA,2008,36030,282355565,12.76
1146,United States,USA,2009,36900,285162662,12.94
1147,United States,USA,2010,38362,287839149,13.33
1148,United States,USA,2011,39508,290313825,13.61
1149,United States,USA,2012,40596,292827128,13.86
1150,United States,USA,2013,41143,295322862,13.93
1151,United States,USA,2014,42769,297749735,14.36
1152,United States,USA,2015,44189,300078511,14.73
1153,Uruguay,URY,2002,675,3065257,22.02
1154,Uruguay,URY,2003,535,3065772,17.45
1155,Uruguay,URY,2004,520,3066489,16.96
1156,Uruguay,URY,2005,498,3070178,16.22
1157,Uruguay,URY,2006,528,3077445,17.16
1158,Uruguay,URY,2007,576,3087957,18.65
1159,Uruguay,URY,2008,523,3100791,16.87
1160,Uruguay,URY,2009,511,3114306,16.41
1161,Uruguay,URY,2010,547,3127306,17.49
1162,Uruguay,URY,2012,599,3151939,19.0
1163,Uruguay,URY,2013,546,3164670,17.25
1164,Uruguay,URY,2014,591,3177645,18.6
1165,Uruguay,URY,2015,630,3190795,19.74
1166,Uzbekistan,UZB,2002,1576,22632256,6.96
1167,Uzbekistan,UZB,2003,1416,22982883,6.16
1168,Uzbekistan,UZB,2004,1251,23300841,5.37
1169,Uzbekistan,UZB,2005,1221,23600347,5.17
1170,Uzbekistan,UZB,2009,1399,25288102,5.53
1171,Uzbekistan,UZB,2010,1464,25651783,5.71
1172,Uzbekistan,UZB,2011,1640,25978049,6.31
1173,Uzbekistan,UZB,2012,1835,26381830,6.96
1174,Uzbekistan,UZB,2013,1950,26838924,7.27
1175,Uzbekistan,UZB,2014,2095,27313507,7.67
